School,Nickname,City,State,Conference,Division
Abilene Christian University,Wildcats,Abilene,Texas,Southland Conference,I
Academy of Art University,Urban Knights,San Francisco,California,Pacific West Conference,II
Adams State University,Grizzlies,Alamosa,Colorado,Rocky Mountain Athletic Conference,II
Adelphi University,Panthers,Garden City,New York,Northeast-10 Conference,II
Adrian College,Bulldogs,Adrian,Michigan,Michigan Intercollegiate Athletic Association,III
Agnes Scott College,Scotties,Decatur,Georgia,USA South Athletic Conference,III
Alabama Agricultural and Mechanical University,Bulldogs and Lady Bulldogs,Huntsville,Alabama,Southwestern Athletic Conference,I
Alabama State University,Hornets and Lady Hornets,Montgomery,Alabama,Southwestern Athletic Conference,I
Albany State University,Golden Rams,Albany,Georgia,Southern Intercollegiate Athletic Conference,II
Albertus Magnus College,Falcons,New Haven,Connecticut,Great Northeast Athletic Conference,III
Albion College,Britons,Albion,Michigan,Michigan Intercollegiate Athletic Association,III
Albright College,Lions,Reading,Pennsylvania,MAC Commonwealth Conference,III
Alcorn State University,Braves and Lady Braves,Lorman,Mississippi,Southwestern Athletic Conference,I
Alderson Broaddus University,Battlers,Philippi,West Virginia,Great Midwest Athletic Conference,II
Alfred State College,Pioneers,Alfred,New York,Independent,III
Alfred University,Saxons,Alfred,New York,Empire 8,III
Allegheny College,Gators,Meadville,Pennsylvania,North Coast Athletic Conference,III
Alma College,Scots,Alma,Michigan,Michigan Intercollegiate Athletic Association,III
Alvernia University,Crusaders,Reading,Pennsylvania,MAC Commonwealth Conference,III
Alverno College,Inferno,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
American International College,Yellow Jackets,Springfield,Massachusetts,Northeast-10 Conference,II
American University,Eagles,Washington,District of Columbia,Patriot League,I
Amherst College,Mammoths,Amherst,Massachusetts,New England Small College Athletic Conference,III
Anderson University,Trojans,Anderson,South Carolina,South Atlantic Conference,II
Anderson University,Ravens and Lady Ravens,Anderson,Indiana,Heartland Collegiate Athletic Conference,III
Angelo State University,Rams & Rambelles,San Angelo,Texas,Lone Star Conference,II
Anna Maria College,AMCATS,Paxton,Massachusetts,Great Northeast Athletic Conference,III
Appalachian State University,Mountaineers,Boone,North Carolina,Sun Belt Conference,I
Arcadia University,Knights,Glenside,Pennsylvania,MAC Commonwealth Conference,III
Arizona State University,Sun Devils,Tempe,Arizona,Pac-12 Conference,I
Arkansas State University,Red Wolves,Jonesboro,Arkansas,Sun Belt Conference,I
Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,Arkansas,Great American Conference,II
Ashland University,Eagles,Ashland,Ohio,Great Lakes Intercollegiate Athletic Conference,II
Assumption College,Greyhounds,Worcester,Massachusetts,Northeast-10 Conference,II
Auburn University,Tigers,Auburn,Alabama,Southeastern Conference,I
Augsburg College,Auggies,Minneapolis,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Augusta University,Jaguars,Augusta,Georgia,Peach Belt Conference,II
Augustana College,Vikings,Rock Island,Illinois,College Conference of Illinois and Wisconsin,III
Augustana University,Vikings,Sioux Falls,South Dakota,Northern Sun Intercollegiate Conference,II
Aurora University,Spartans,Aurora,Illinois,Northern Athletics Collegiate Conference,III
Austin College,Kangaroos,Sherman,Texas,Southern Collegiate Athletic Conference,III
Austin Peay State University,Governors and Lady Govs,Clarksville,Tennessee,Ohio Valley Conference,I
Averett University,Cougars,Danville,Virginia,USA South Athletic Conference,III
Azusa Pacific University,Cougars,Azusa,California,Pacific West Conference,II
Babson College,Beavers,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,III
Baldwin Wallace University,Yellow Jackets,Berea,Ohio,Ohio Athletic Conference,III
Ball State University,Cardinals,Muncie,Indiana,Mid-American Conference,I
Bard College,Raptors,Annandale-on-Hudson,New York,Liberty League,III
Barry University,Buccaneers,Miami Shores,Florida,Sunshine State Conference,II
Barton College,Bulldogs,Wilson,North Carolina,Conference Carolinas,II
Baruch College,Bearcats,New York,New York,City University of New York Athletic Conference,III
Bates College,Bobcats,Lewiston,Maine,New England Small College Athletic Conference,III
Bay Path University,Wildcats,Longmeadow,Massachusetts,New England Collegiate Conference,III
Baylor University,Bears and Lady Bears,Waco,Texas,Big 12 Conference,I
Becker College,Hawks,Worcester/Leicester,Massachusetts,New England Collegiate Conference,III
Belhaven University,Blazers,Jackson,Mississippi,American Southwest Conference,III
Bellarmine University,Knights,Louisville,Kentucky,Great Lakes Valley Conference,II
Belmont Abbey College,Crusaders,Belmont,North Carolina,Conference Carolinas,II
Belmont University,Bruins,Nashville,Tennessee,Ohio Valley Conference,I
Beloit College,Buccaneers,Beloit,Wisconsin,Midwest Conference,III
Bemidji State University,Beavers,Bemidji,Minnesota,Northern Sun Intercollegiate Conference,II
Benedict College,Tigers,Columbia,South Carolina,Southern Intercollegiate Athletic Conference,II
Benedictine University,Eagles,Lisle,Illinois,Northern Athletics Collegiate Conference,III
